,reg_IC50,reg_CC50,reg_SI,clf_IC50,clf_CC50,clf_SI,clf_SI_gt_8,MI_avg
EState_VSA7,0.02496128403489628,0.1404540198228874,0.03277728538546709,0.031967281420581806,0.0007880645814994924,0.009870142420142392,0.009090239305281633,0.035701188138679445
EState_VSA8,0.10065482103491163,0.3480327701662991,0.10160387366691159,0.05695818296185018,0.10450588059708865,0.04337352718282039,0.06813897308573535,0.11760971838508813
EState_VSA9,0.11103030857712026,0.3645342570025236,0.09681606797779363,0.02484028449724751,0.08602855364617801,0.057449595592483194,0.055695300373682866,0.11377062395243273
VSA_EState1,0.09279954151713099,0.2923343470414794,0.10330356082256875,0.044617215997823534,0.07131705423916523,0.01778502015605188,0.04229115768305669,0.09492112820818235
VSA_EState10,0.02010405458998199,0.08367308487108405,0.037656400194005624,0.0,0.0,0.0,0.0,0.020204791379295952
VSA_EState2,0.13218345400300313,0.42257377221613845,0.06248775290331432,0.04255835342930503,0.06116416623883225,0.05010559658796576,0.06716805964425676,0.11974873643183082
VSA_EState3,0.12537479131424867,0.27527598351879234,0.04425938362279069,0.056409557676604605,0.07048443718686048,0.023926214777311605,0.03783946668501059,0.09050997639737414
VSA_EState4,0.12876682842765552,0.2980170981817474,0.09703127425236868,0.0,0.05789349815519196,0.05618446764105145,0.058616650251432034,0.09950140241563529
VSA_EState5,0.08127271643571721,0.3193522946348395,0.07667720330638472,0.014052919734278913,0.04515279955169471,0.04524201380624904,0.04027503388648146,0.08886071162223508
VSA_EState6,0.09976621004302144,0.2508797756828831,0.01773953811524276,0.03596232276596445,0.005447039530291908,0.024440531440313107,0.039362173701523284,0.06765679875417716
VSA_EState7,0.07108808615626305,0.32532820862111667,0.07965742559469824,0.038439577927291246,0.08345747718252672,0.016047925400567653,0.033542992866028465,0.09250881339264172
VSA_EState8,0.16329271602089612,0.3859908303735575,0.07465967489023928,0.07970459041030176,0.08672112921406816,0.032958499673846564,0.03633841024663198,0.12280940726136305
VSA_EState9,0.05505494870561489,0.12592770951276866,0.016338634832513854,0.06030094875013381,0.01825934426647735,0.018764804510102984,0.025441612392573143,0.045726857567169245
FractionCSP3,0.08422167309975626,0.35547180385948174,0.06910876641395935,0.022673049163275616,0.0381763554584833,0.02136530146772353,0.04922560222063499,0.09146322166904497
HeavyAtomCount,0.18061914153287884,0.6246582952889015,0.013796382050104583,0.033573444870891755,0.04128294571966129,0.028055282962742067,0.0,0.13171221320359713
NHOHCount,0.06833413460002458,0.15418939300822698,0.0167877689823408,0.004844166941864847,0.013860178406940094,0.018050582734845166,0.017041069454225788,0.04187247058978118
NOCount,0.08675718785474151,0.2707350448482142,0.042636460947826915,0.0062663285731277,0.03177988388233377,0.0,0.014239525831653888,0.06463063313398543
NumAliphaticCarbocycles,0.09712380499067308,0.17637504350037636,0.09837938565380933,0.01247578308597408,0.02472852431884065,0.030753475011507048,0.04243008451812336,0.06889515729704342
NumAliphaticHeterocycles,0.06423955973742812,0.17563593159314594,0.03512401860648229,0.0017594332742509877,0.06226634775408013,0.0,0.0007146063616283449,0.048534271046716544
NumAliphaticRings,0.08446192260772944,0.22693743439752545,0.1015437215569368,0.009853049468417918,0.030474699747997214,0.011272249706111515,0.02867229076086164,0.07045933832079714
NumAromaticCarbocycles,0.047972683189483334,0.16669971221947044,0.01750020194300017,0.0,0.03412314772556546,0.008110283540206042,0.009207464428904855,0.04051621329237576
NumAromaticHeterocycles,0.006217442503513526,0.10841425422032658,0.011302115444185024,0.029239225150305526,0.027572720260573558,0.009440979643736913,0.01127356396331658,0.029065757312279672
NumAromaticRings,0.04506539865363557,0.204625806410776,0.0022001857610063347,0.0,0.013942263520126286,0.005766409288445962,0.009729402051409597,0.04018992366934282
NumHAcceptors,0.09698082261866237,0.2668106182036021,0.04281866883734686,0.028122381890342663,0.040120987224893545,0.03990127292213108,0.019178408630010857,0.0762761657609985
NumHDonors,0.029810635744628833,0.1347630975413563,0.024947684934906622,0.031499754455919016,0.027115094243329363,0.01674464976094714,0.03262959424476253,0.04250150156083569
NumHeteroatoms,0.04952196144173859,0.29352493850850214,0.06214954334692502,0.03025506252019694,0.04162799557430752,0.015412413872602171,0.011446293188712264,0.07199117263614066
NumRotatableBonds,0.0598974940579704,0.2490806725153787,0.05029361956311185,0.04206857216501625,0.01267391105558957,0.0030028115614442186,0.026083313408234998,0.06330005633239229
